task,architecture,condition,block,mean_val_acc_epochs_1_10,val_acc_epoch_5,val_acc_epoch_10,val_acc_epoch_20,val_acc_epoch_40,first_epoch_95,val_ce_improvement_31_40
single_shape,TwoLayerCNN,template_retention_1,block05,0.87265625,0.9375,1.0,1.0,1.0,6.0,0.011680860072374344
single_shape,TwoLayerCNN,template_retention_1,block06,0.92890625,0.9609375,1.0,1.0,1.0,3.0,0.013633625581860542
single_shape,TwoLayerCNN,template_retention_1,block07,0.8796875,0.98046875,0.9921875,0.9921875,0.9921875,4.0,0.011671103537082672
single_shape,TwoLayerCNN,template_retention_1,block08,0.91953125,0.90625,0.9921875,0.99609375,0.99609375,2.0,0.011897828429937363
single_shape,TwoLayerCNN,template_retention_1,block09,0.90625,0.99609375,1.0,0.99609375,1.0,5.0,0.012752518057823181
two_concepts,TinyCNN,frozen_random_unitnorm,block00,0.231640625,0.18359375,0.2109375,0.3046875,0.44140625,,0.011818289756774902
two_concepts,TinyCNN,frozen_random_unitnorm,block01,0.2296875,0.234375,0.23046875,0.34765625,0.5078125,,0.0142594575881958
two_concepts,TinyCNN,frozen_random_unitnorm,block02,0.40234375,0.296875,0.51953125,0.5859375,0.68359375,,0.02429831027984619
two_concepts,TinyCNN,frozen_random_unitnorm,block03,0.26953125,0.25,0.26171875,0.4296875,0.4765625,,0.011317849159240723
two_concepts,TinyCNN,frozen_random_unitnorm,block04,0.233984375,0.24609375,0.19921875,0.23046875,0.375,,0.007611513137817383
two_concepts,TinyCNN,frozen_random_unitnorm,block05,0.2578125,0.28125,0.3046875,0.359375,0.44921875,,0.013535261154174805
two_concepts,TinyCNN,frozen_random_unitnorm,block06,0.234375,0.2421875,0.1953125,0.2578125,0.35546875,,0.012445569038391113
two_concepts,TinyCNN,frozen_random_unitnorm,block07,0.280859375,0.29296875,0.27734375,0.33203125,0.44921875,,0.008604645729064941
two_concepts,TinyCNN,frozen_random_unitnorm,block08,0.283984375,0.265625,0.34765625,0.328125,0.37890625,,0.01124274730682373
two_concepts,TinyCNN,frozen_random_unitnorm,block09,0.278515625,0.29296875,0.328125,0.34765625,0.4921875,,0.01360464096069336
two_concepts,TinyCNN,frozen_spectrum,block00,0.333984375,0.37109375,0.359375,0.37109375,0.43359375,,0.016501188278198242
two_concepts,TinyCNN,frozen_spectrum,block01,0.221875,0.18359375,0.19921875,0.265625,0.49609375,,0.016260862350463867
