task,architecture,block,condition,epoch,channel,nearest_template,assigned_template,nearest_cosine,assigned_cosine
single_shape,TinyCNN,2007,random_unitnorm,20,13,15,9,0.22972402216529342,-0.022563416791952968
single_shape,TinyCNN,2007,random_unitnorm,20,14,11,11,0.32604864845242926,0.32604864845242926
single_shape,TinyCNN,2007,random_unitnorm,20,15,14,13,0.2579381233574269,0.17320679755808016
single_shape,TinyCNN,2007,random_unitnorm,40,0,15,14,0.3845997572680111,0.3761083139406617
single_shape,TinyCNN,2007,random_unitnorm,40,1,15,15,0.28215131248160474,0.28215131248160474
single_shape,TinyCNN,2007,random_unitnorm,40,2,11,12,0.210239404408608,0.13049112665817228
single_shape,TinyCNN,2007,random_unitnorm,40,3,5,4,0.225966485644006,0.20333545210848625
single_shape,TinyCNN,2007,random_unitnorm,40,4,7,5,0.3033311052820018,0.20273738103575495
single_shape,TinyCNN,2007,random_unitnorm,40,5,0,1,0.11529687284451827,0.06833577490066076
single_shape,TinyCNN,2007,random_unitnorm,40,6,15,0,0.19079073416244982,0.03349222033065401
single_shape,TinyCNN,2007,random_unitnorm,40,7,15,10,0.27868180556011396,0.06260143208823592
single_shape,TinyCNN,2007,random_unitnorm,40,8,1,2,0.3498937272811205,0.34110377340724196
single_shape,TinyCNN,2007,random_unitnorm,40,9,7,6,0.33590670994164046,0.2527155491616655
single_shape,TinyCNN,2007,random_unitnorm,40,10,7,7,0.1377875136859713,0.1377875136859713
single_shape,TinyCNN,2007,random_unitnorm,40,11,3,3,0.3701985891555805,0.3701985891555805
single_shape,TinyCNN,2007,random_unitnorm,40,12,13,8,0.31778963891189715,0.31426540967236166
single_shape,TinyCNN,2007,random_unitnorm,40,13,15,9,0.27890213933044206,-0.01484451617523318
single_shape,TinyCNN,2007,random_unitnorm,40,14,11,11,0.3344565163495328,0.3344565163495328
single_shape,TinyCNN,2007,random_unitnorm,40,15,7,13,0.27133102687639465,0.19141461652893674
single_shape,TinyCNN,2007,random_unitnorm,80,0,15,13,0.40063472116551746,0.24795569439979046
single_shape,TinyCNN,2007,random_unitnorm,80,1,15,11,0.2918650274370542,0.14965096760949062
single_shape,TinyCNN,2007,random_unitnorm,80,2,11,8,0.23815238444327802,0.18852696170649963
single_shape,TinyCNN,2007,random_unitnorm,80,3,5,4,0.21864701993868282,0.19182854444805691
single_shape,TinyCNN,2007,random_unitnorm,80,4,7,5,0.3062071600600313,0.20889293054005914
single_shape,TinyCNN,2007,random_unitnorm,80,5,0,0,0.12473224724826892,0.12473224724826892
single_shape,TinyCNN,2007,random_unitnorm,80,6,15,1,0.18568666520549268,-0.014721133627985408
single_shape,TinyCNN,2007,random_unitnorm,80,7,15,14,0.3033612296257877,0.23552857594760968
single_shape,TinyCNN,2007,random_unitnorm,80,8,1,2,0.3470999345403028,0.3458797214199239
